sku,csv_filename,real_filename,real_url,status
"pers-front-continental-r-le-mans-chassis-numbers-63546-on-p11627","front_caliper_continental_r_le_mans.jpg","1486453289-84829600.jpg","https://www.introcar.com/media/lookbookslider/1486453289-84829600.jpg","downloaded"
"pcalipers-front-continental-r-chassis-numbers-01864-on-p11633","front_caliper_continental_r_01864_1.jpg","1486459969-19007700.jpg","https://www.introcar.com/media/lookbookslider/1486459969-19007700.jpg","downloaded"
"pcalipers-rear-corniche-continental-p11638","rear_caliper_spirit_1_1.jpg","Rear Caliper Corniche 1979-1982 (1).jpg","https://www.introcar.com/media/lookbookslider/Rear Caliper Corniche 1979-1982 (1).jpg","downloaded"
"pcalipers-rear-continental-t-sc-p11642","rear_caliper_continental_r_42000_2.jpg","1486635109-71747900.jpg","https://www.introcar.com/media/lookbookslider/1486635109-71747900.jpg","downloaded"
"pcalipers-rear-4-door-cars-other-than-touring-limousine-p11635","rear_caliper_spirit.jpg","1486631286-31165700.jpg","https://www.introcar.com/media/lookbookslider/1486631286-31165700.jpg","downloaded"
"psis-numbers-50801-01116-other-than-mulliner-final-series-p11644","rear_caliper_continental_r_42000.jpg","1486635109-71747900.jpg","https://www.introcar.com/media/lookbookslider/1486635109-71747900.jpg","downloaded"
"pcalipers-rear-azure-mulliner-chassis-numbers-61724-62564-p11645","rear_caliper_spirit_1.jpg","1486635109-71747900.jpg","https://www.introcar.com/media/lookbookslider/1486635109-71747900.jpg","downloaded"
"pmulliner-chassis-numbers-62566-on-including-2000-2003-my-p11647","rear_caliper_azure_mulliner_62566.jpg","1486661419-27037000.jpg","https://www.introcar.com/media/lookbookslider/1486661419-27037000.jpg","downloaded"
"palipers-rear-azure-final-series-chassis-numbers-01171-on-p11648","rear_caliper_azure_final_series.jpg","1486661539-12504100.jpg","https://www.introcar.com/media/lookbookslider/1486661539-12504100.jpg","downloaded"
"pcalipers-rear-continental-r-other-than-final-series-p11643","rear_caliper_continental_r_42000_1.jpg","1486635109-71747900.jpg","https://www.introcar.com/media/lookbookslider/1486635109-71747900.jpg","downloaded"
"pcalipers-rear-continental-r-final-series-p11646","rear_caliper_azure_final_series_1.jpg","1486661539-12504100.jpg","https://www.introcar.com/media/lookbookslider/1486661539-12504100.jpg","downloaded"
"pcalipers-rear-touring-limousine-p11639","rear_caliper_touring_limousine.jpg","1486631397-11390100.jpg","https://www.introcar.com/media/lookbookslider/1486631397-11390100.jpg","downloaded"
"ptinental-chassis-numbers-30001-30636-electrical-ignition-p10245","timing_sensors_30000.jpg","1476773202-24568200.jpg","https://www.introcar.com/media/lookbookslider/1476773202-24568200.jpg","downloaded"
"ptinental-chassis-numbers-40075-40533-electrical-ignition-p10246","timing_sensors_40000_1.jpg","1476773223-12217800.jpg","https://www.introcar.com/media/lookbookslider/1476773223-12217800.jpg","downloaded"
"ptinental-chassis-numbers-50001-50170-electrical-ignition-p10247","timing_sensors_50000_2.jpg","1476773262-10029100.jpg","https://www.introcar.com/media/lookbookslider/1476773262-10029100.jpg","downloaded"
"p-r-azure-chassis-numbers-50801-52449-electrical-ignition-p10253","timing_sensors_50000.jpg","1476773262-10029100.jpg","https://www.introcar.com/media/lookbookslider/1476773262-10029100.jpg","downloaded"
"ping-spur-chassis-numbers-55012-55761-electrical-ignition-p10255","timing_sensors_50000_1.jpg","1476773262-10029100.jpg","https://www.introcar.com/media/lookbookslider/1476773262-10029100.jpg","downloaded"
"pnental-r-chassis-numbers-42001-42728-electrical-ignition-p10252","timing_sensors_40000.jpg","1476773223-12217800.jpg","https://www.introcar.com/media/lookbookslider/1476773223-12217800.jpg","downloaded"
"pl-chassis-numbers-31223-44582-type-1-electrical-ignition-p10243","timing_sensors_30000_1.jpg","1476773202-24568200.jpg","https://www.introcar.com/media/lookbookslider/1476773202-24568200.jpg","downloaded"
"pl-chassis-numbers-31223-44582-type-2-electrical-ignition-p10244","timing_sensors_40000_2.jpg","1476773223-12217800.jpg","https://www.introcar.com/media/lookbookslider/1476773223-12217800.jpg","downloaded"
