SKU,Parent SKU,File
UE3476-X,UE3476,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE3476_processed.mp4
UE36200-X,UE36200,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE36200_processed.mp4
UE36782-X,UE36782,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE36782_processed.mp4
UE37061-X,UE37061,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE37061_processed.mp4
UE37777-X,UE37777,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE37777_processed.mp4
UE38223-X,UE38223,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE38223_processed.mp4
UE40167-X,UE40167,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE40167_processed.mp4
UE40534HB-X,UE40534HB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE40534HB_processed.mp4
UE41719-X,UE41719,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE41719_processed.mp4
UE42285-X,UE42285,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE42285_processed.mp4
UE42302-X,UE42302,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE42302_processed.mp4
UE42479-X,UE42479,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE42479_processed.mp4
UE43652-X,UE43652,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE43652_processed.mp4
UE43934NF.02-X,UE43934NF.02,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE43934NF.02_processed.mp4
UE44724-X,UE44724,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE44724_processed.mp4
UE44919-X,UE44919,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE44919_processed.mp4
UE45015-X,UE45015,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE45015_processed.mp4
UE46127-X,UE46127,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE46127_processed.mp4
UE5735-X,UE5735,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE5735_processed.mp4
UE6211-18-X,UE6211-18,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE6211-18_processed.mp4
UE71222S-X,UE71222S,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE71222S_processed.mp4
UE73704-X,UE73704,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE73704_processed.mp4
UE75183-X,UE75183,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE75183_processed.mp4
UE75318-X,UE75318,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE75318_processed.mp4
UE75554-X,UE75554,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE75554_processed.mp4
UE8232-X,UE8232,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE8232_processed.mp4
UE9690-X,UE9690,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UE9690_processed.mp4
UG11121-X,UG11121,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG11121_processed.mp4
UG12114-X,UG12114,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG12114_processed.mp4
UG13203-X,UG13203,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG13203_processed.mp4
UG13204-X,UG13204,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG13204_processed.mp4
UG14118-X,UG14118,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG14118_processed.mp4
UG14381-X,UG14381,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG14381_processed.mp4
UG14486-X,UG14486,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG14486_processed.mp4
UG2726-X,UG2726,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG2726_processed.mp4
UG2747-X,UG2747,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UG2747_processed.mp4
UR1021-X,UR1021,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR1021_processed.mp4
