"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"UR19481SX-R","VALVE DISTRIBUTOR UPPER ASSEMBLY","17","£5860.07","£346.08","£6206.15","£4197.53","£1662.54","28.37"
"CD5339-X","FRONT CALIPER SEAL KIT","183","£5993.24","£212.87","£6206.11","£2324.55","£3668.69","61.21"
"RH8149-X","FRONT SILENCER","25","£6070.09","£130.65","£6200.74","£4840.60","£1229.49","20.25"
"CD5844-X","FRONT CALIPER PISTON","514","£6066.44","£131.13","£6197.57","£1028.00","£5038.44","83.05"
"079145722A-X","EXHAUST GAS TURBOCHARGER, RIGHT HAND (WATER-COOLED)","3","£5479.99","£697.62","£6177.61","£4347.48","£1132.51","20.67"
"SPM1534PL-X","LOWER TRIANGLE BUSH","332","£5760.95","£389.19","£6150.14","£3264.73","£2496.22","43.33"
"UE42480-X","EXHAUST VALVE GUIDE","124","£5658.27","£481.70","£6139.97","£497.24","£5161.03","91.21"
"UE74193-X","WASHER RUBBER RAM PIPE","1390","£5810.58","£319.94","£6130.52","£1148.12","£4662.46","80.24"
"RG6780-X","FRONT DRUM","16","£5440.61","£649.83","£6090.44","£333.60","£5107.01","93.87"
"3W0407693-X","LOWER SUSPENSION LEVER ARM (FRONT LEFT REAR)","45","£5324.60","£765.09","£6089.69","£1862.96","£3461.64","65.01"
"UB72408-X","SEAL MOULDED FRONT DOOR RIGHT HAND","39","£5332.19","£751.60","£6083.79","£623.22","£4708.97","88.31"
"GMF1279-SU","ASSEMBLY LOWER DISTRIBUTION VALVE Surcharge","17","£5796.92","£272.76","£6069.68","£5654.42","£142.50","2.46"
"079145721A-X","EXHAUST GAS TURBOCHARGER, LEFT HAND (WATER-COOLED)","3","£5385.13","£678.65","£6063.78","£4344.01","£1041.12","19.33"
"6881182-A","REPAIR KIT, BRAKE PADS ASBESTOS-FREE","15","£5968.14","£77.11","£6045.25","£4983.54","£984.60","16.50"
"UE73201SX-R","RADIATOR AND GEARBOX COOLER","13","£5165.93","£878.95","£6044.88","£5374.00","£-208.07","-4.03"
"GMF1039-X","REAR SUSPENSION GAS SPHERE","82","£5743.89","£285.71","£6029.60","£1893.46","£3850.43","67.04"
"UE40361-X","WATER TEMPERATURE TRANSMITTER","248","£5564.21","£448.92","£6013.13","£958.91","£4605.30","82.77"
"PC29626PA-X","ACCUMULATOR","21","£5438.42","£552.66","£5991.08","£1903.26","£3535.16","65"
"4E0407151K-X","LOWER FRONT WISHBONE LINK","29","£5142.69","£845.24","£5987.93","£2111.10","£3031.59","58.95"
"UE40480-X","TRANSMITTER OIL PRESSURE","95","£5710.08","£268.61","£5978.69","£3699.18","£2010.90","35.22"
"PW81204-X","WINDOW CHANNEL SEAL (36 INCH)","141","£5396.72","£572.59","£5969.31","£597.15","£4799.57","88.93"
"UE72296-X","TIMING SENSOR","38","£5699.48","£245.10","£5944.58","£2088.90","£3610.58","63.35"
"UE43934KT1-X","AIR CONDITIONING COMPRESSOR UPGRADE KIT","7","£5636.80","£300.08","£5936.88","£1607.19","£4029.61","71.49"
"RG6924-X","FRONT BRK SHOE ASSEMBLY","23","£5477.72","£453.78","£5931.50","£4133.26","£1344.46","24.54"
"UB72407-X","SEAL MOULDED FRONT DOOR LEFT HAND","38","£5205.01","£723.27","£5928.28","£607.24","£4597.77","88.33"
"UR21273-X","ABSORBER AND BRACKET","50","£5261.93","£645.16","£5907.09","£1680.90","£3581.03","68.06"
"UE46315-X","STEERING FLUID RESERVOIR","22","£5666.32","£234.52","£5900.84","£3085.06","£2581.26","45.55"
"UR13532-X","RIGHT HAND REAR QUARTER MOULDING (CHROMED)","14","£5787.76","£94.49","£5882.25","£3494.30","£2293.46","39.63"
"UB80182-X","STRUT GAS BONNET / HOOD HINGE","156","£5791.13","£87.38","£5878.51","£2201.25","£3589.88","61.99"
"UB31536-X","RIGHT HAND REAR DOOR SEAL","90","£5113.03","£744.21","£5857.24","£561.60","£4551.43","89.02"
"3Z0201037-X","FUEL PUMP (SCREW TYPE)","20","£5720.41","£111.95","£5832.36","£1578.27","£4142.14","72.41"
"CD6244-X","HEIGHT CONTROL VALVE / REAR OUTER BRK HOSE","470","£5562.85","£268.98","£5831.83","£1493.67","£4069.18","73.15"
"UV31540PA-X","LINK LOOM FRONT DAMPER","42","£5071.59","£741.96","£5813.55","£2070.00","£3001.59","59.18"
"07C905715A-X","IGNITION COIL","181","£5192.89","£597.57","£5790.46","£2729.03","£2463.86","47.45"
"RG6037-X","CROWN WHEEL AND PINION","3","£5268.92","£493.94","£5762.86","£2100.00","£3168.92","60.14"
"GMF1278-SU","ASSEMBLY UPPER DIST VALVE Surcharge","16","£5399.94","£329.74","£5729.68","£5387.47","£12.47","0.23"
"UG3649-X","SEAL SPREADER FRONT BRK","426","£4804.24","£915.61","£5719.85","£811.40","£3992.84","83.11"
"UR17518-X","PIPE PUMP TO ACCUM","62","£5074.68","£643.98","£5718.66","£2633.14","£2441.54","48.11"
"3W2955425D-X","WIPER BLADE RIGHT HAND DRIVE","576","£4902.45","£814.21","£5716.66","£1082.88","£3819.57","77.91"
"GMF1081-X","ACCUMULATOR RETURN HOSE","170","£5288.31","£417.53","£5705.84","£1960.49","£3327.82","62.93"
"3W0411317C-X","ANTI-ROLL BAR DROP LINK","93","£4962.07","£740.22","£5702.29","£4051.91","£910.16","18.34"
"GM8684221KT-X","FILTER AND GASKET KIT, 4 L80 E (4 SPEED) GEARBOX","48","£5067.27","£626.71","£5693.98","£2479.83","£2587.44","51.06"
"UG13562/3-X","REAR HUB OUTER RACE AND ROLLER","253","£5512.29","£170.26","£5682.55","£915.40","£4596.89","83.39"
"RH12050-X","SPARK PLUG BPR4 EVX","406","£5243.99","£429.21","£5673.20","£2946.17","£2297.82","43.82"
"UE37583SX-R","ACCUMULATOR VALVE AND CASING ASSEMBLY","42","£5201.89","£467.72","£5669.61","£2378.29","£2823.60","54.28"
"CD3044-X","DISTRIBUTOR CAP","136","£5183.50","£478.00","£5661.50","£1538.67","£3644.83","70.32"
"NC_CONSIGNEMENT","CONSIGNMENT STOCK","2","£5631.15","£0.00","£5631.15","£25227.73","£-19596.58","-348"
"UR70654-SU","STEERING RACK RH PASS Surcharge","13","£5000.00","£600.00","£5600.00","£4300.00","£700.00","14"
"UR71816-SU","ASSY STRG RACK RH RR PAS Surcharge","12","£4700.00","£880.00","£5580.00","£1725.00","£2975.00","63.30"
"UE40331-X","PUSH ROD BRK PUMP","86","£5316.78","£253.58","£5570.36","£4237.68","£1079.10","20.30"
"UR13591-X","FUEL GAUGE LEVEL UNIT","33","£5242.64","£312.72","£5555.36","£1402.44","£3840.20","73.25"
"UG14381-X","FRONT DRUM","9","£4872.64","£681.58","£5554.22","£512.18","£4360.46","89.49"
"RH8060-X","WINDSCREEN (SUNDYM)","11","£5548.89","£0.00","£5548.89","£3323.37","£2225.52","40.11"
"UR19480-SU","VALVE DIST LOWER Surcharge","15","£5196.73","£349.49","£5546.22","£5137.28","£59.45","1.14"
"UB3556-X","AIR INTAKE ASSEMBLY","18","£4762.94","£769.93","£5532.87","£2070.00","£2692.94","56.54"
"UE30193-X","THERMOSTAT","29","£5027.75","£502.29","£5530.04","£946.88","£4080.87","81.17"
"UR8124-X","RADIATOR BOTTOM HOSE","102","£5271.50","£238.71","£5510.21","£826.90","£4444.60","84.31"
"3W0698151AA-A","SET OF BRK PADS FOR DISK BRK","13","£5497.92","£0.00","£5497.92","£4763.70","£734.22","13.35"
"UR71816SX-R","STEERING RACK ASSEMBLY RIGHT HAND PASSENGER","15","£4740.01","£755.22","£5495.23","£4429.23","£310.78","6.56"
"RH12848-X","BRK SHOE LINING","217","£5106.66","£386.87","£5493.53","£2993.20","£2113.46","41.39"
"UR17886-X","ACCUMULATOR HIGH PRESSURE BRAIDED STEEL HOSE","69","£5204.37","£285.34","£5489.71","£1302.74","£3901.63","74.97"
"UR13167-X","MASTER CYLINDER","82","£5244.69","£244.38","£5489.07","£2981.53","£2263.16","43.15"
"JNV698996-X","BRK HOSES AND BRACKETS KIT","24","£4730.97","£755.55","£5486.52","£1656.50","£3074.47","64.99"
"LU54401050-X","ROTOR ARM","1000","£4572.00","£914.40","£5486.40","£3845.10","£726.90","15.90"
